location,bhk,area_sqft,bathrooms,furnishing,parking,rent
Chembur,3,1019,2.0,Unfurnished,1,59784
Kandivali,4,1396,3.0,Fully-Furnished,1,81429
Andheri,2,745,3.0,Unfurnished,0,46373
Goregaon,2,612,2.0,Semi-Furnished,0,37087
Borivali,1,300,2.0,Fully-Furnished,0,20498
Andheri,2,594,2.0,Unfurnished,0,36509
Kandivali,1,363,2.0,Fully-Furnished,1,24816
Thane,1,453,1.0,Semi-Furnished,1,24856
Powai,2,848,2.0,Semi-Furnished,1,72137
Powai,2,599,3.0,Semi-Furnished,0,54092
Kandivali,1,380,1.0,Semi-Furnished,1,24356
Bandra,2,690,1.0,Semi-Furnished,0,61095
Bandra,2,647,1.0,Unfurnished,0,54343
Powai,2,765,2.0,Semi-Furnished,0,59899
Bandra,3,1198,3.0,Unfurnished,1,127549
Andheri,2,667,3.0,Fully-Furnished,1,56279
Thane,1,300,1.0,Semi-Furnished,0,16855
Malad,2,601,3.0,Semi-Furnished,0,35267
Goregaon,2,580,3.0,Semi-Furnished,0,32078
Dadar,2,626,3.0,Unfurnished,1,56261
Thane,1,300,1.0,Unfurnished,0,14917
Powai,1,377,1.0,Semi-Furnished,0,33506
Andheri,3,997,2.0,Unfurnished,1,59766
Kandivali,1,378,1.0,Fully-Furnished,1,24145
Goregaon,2,634,1.0,Fully-Furnished,1,45452
Malad,2,581,1.0,Unfurnished,1,35349
Malad,2,681,3.0,Semi-Furnished,1,44967
Borivali,3,963,2.0,Unfurnished,1,51918
Goregaon,2,763,3.0,Unfurnished,1,46537
Powai,1,352,1.0,Semi-Furnished,1,31978
Andheri,3,1084,3.0,Semi-Furnished,1,80524
Chembur,2,788,1.0,Semi-Furnished,1,49666
Bandra,4,1470,4.0,Fully-Furnished,1,172808
Malad,3,945,4.0,Fully-Furnished,0,64571
Kandivali,2,654,3.0,Semi-Furnished,1,43140
Powai,3,1075,3.0,Unfurnished,1,85412
Andheri,2,680,3.0,Unfurnished,0,47442
Malad,2,739,2.0,Unfurnished,1,42603
Thane,2,710,2.0,Fully-Furnished,1,43429
Goregaon,2,742,2.0,Semi-Furnished,1,49706
Chembur,2,766,2.0,Semi-Furnished,1,45856
Kandivali,3,1056,3.0,Semi-Furnished,1,60315
Chembur,3,1125,3.0,Unfurnished,1,61540
Andheri,3,1182,4.0,Semi-Furnished,1,87466
Powai,2,859,3.0,Unfurnished,1,70517
Andheri,1,384,1.0,Fully-Furnished,1,30663
Andheri,4,1320,3.0,Unfurnished,1,86117
Goregaon,3,1083,2.0,Unfurnished,0,59200
Goregaon,3,1004,2.0,Unfurnished,1,56061
Goregaon,1,300,1.0,Semi-Furnished,1,21022
Bandra,2,677,1.0,Fully-Furnished,1,77197
Andheri,2,775,1.0,Unfurnished,1,48585
Thane,1,362,2.0,Semi-Furnished,1,25270
Chembur,1,363,2.0,Fully-Furnished,1,31171
Dadar,1,300,1.0,Unfurnished,1,29470
Thane,2,790,2.0,Semi-Furnished,1,38789
Thane,2,727,2.0,Fully-Furnished,1,48866
Dadar,2,703,2.0,Semi-Furnished,1,73528
Borivali,2,732,3.0,Fully-Furnished,0,42280
Goregaon,1,366,1.0,Semi-Furnished,1,25814
Kandivali,3,1122,2.0,Fully-Furnished,1,66171
Chembur,1,354,2.0,Semi-Furnished,0,23029
Goregaon,1,300,1.0,Semi-Furnished,0,17771
Borivali,1,339,1.0,Unfurnished,1,19751
Andheri,1,381,2.0,Unfurnished,1,27418
Andheri,4,1531,5.0,Fully-Furnished,1,142860
Bandra,1,406,1.0,Semi-Furnished,1,46149
Chembur,2,740,3.0,Fully-Furnished,1,53019
Bandra,1,300,1.0,Unfurnished,1,33845
Dadar,1,300,1.0,Semi-Furnished,1,30384
Bandra,3,1086,4.0,Semi-Furnished,1,110074
Goregaon,4,1517,4.0,Unfurnished,1,85661
Malad,3,985,3.0,Unfurnished,1,49502
Thane,3,1053,3.0,Semi-Furnished,0,58332
Chembur,2,785,1.0,Unfurnished,1,43793
Powai,2,709,2.0,Semi-Furnished,0,62770
Malad,3,971,2.0,Unfurnished,0,51672
Goregaon,3,970,3.0,Semi-Furnished,1,55048
Powai,1,494,1.0,Semi-Furnished,0,37398
Thane,2,819,2.0,Semi-Furnished,1,47406
Andheri,2,736,2.0,Fully-Furnished,1,65976
Goregaon,2,621,2.0,Unfurnished,1,36165
Andheri,1,300,1.0,Semi-Furnished,0,19802
Bandra,3,1013,3.0,Semi-Furnished,0,114021
Dadar,1,300,2.0,Unfurnished,1,31565
Bandra,2,838,2.0,Unfurnished,0,74869
Kandivali,1,300,2.0,Unfurnished,1,20574
Dadar,2,707,2.0,Unfurnished,1,67893
Malad,2,872,3.0,Semi-Furnished,1,45614
Powai,1,300,2.0,Semi-Furnished,1,27604
Borivali,1,337,1.0,Semi-Furnished,1,23008
Thane,3,935,3.0,Fully-Furnished,1,58953
Andheri,4,1423,4.0,Unfurnished,1,87967
Chembur,2,649,1.0,Semi-Furnished,1,41997
Kandivali,1,332,1.0,Semi-Furnished,1,19489
Malad,1,301,1.0,Semi-Furnished,0,18286
Chembur,1,300,1.0,Semi-Furnished,1,21091
Chembur,2,760,1.0,Unfurnished,1,44312
Kandivali,4,1412,5.0,Fully-Furnished,1,88854
Bandra,3,1088,4.0,Unfurnished,1,120049
Thane,1,421,1.0,Fully-Furnished,1,28986
Powai,2,680,1.0,Fully-Furnished,1,69546
Malad,1,403,2.0,Unfurnished,1,22409
Powai,2,629,2.0,Unfurnished,0,50360
Bandra,2,708,2.0,Semi-Furnished,1,80589
Dadar,3,967,2.0,Fully-Furnished,1,97220
Chembur,1,317,1.0,Semi-Furnished,1,22502
Powai,2,570,2.0,Semi-Furnished,1,48806
Thane,1,300,1.0,Semi-Furnished,0,14600
Bandra,3,1061,3.0,Unfurnished,1,93617
Powai,1,364,1.0,Fully-Furnished,0,34534
Malad,2,665,2.0,Fully-Furnished,0,48783
Andheri,3,1127,2.0,Unfurnished,0,70954
Thane,2,867,3.0,Semi-Furnished,1,50066
Thane,4,1398,3.0,Fully-Furnished,0,78156
Borivali,2,825,1.0,Unfurnished,0,36612
Kandivali,2,555,1.0,Fully-Furnished,1,39800
Goregaon,3,1039,3.0,Fully-Furnished,1,78240
Kandivali,1,300,2.0,Semi-Furnished,1,18853
Chembur,4,1564,4.0,Fully-Furnished,1,100809
Goregaon,1,385,1.0,Semi-Furnished,0,25256
Kandivali,3,894,3.0,Unfurnished,1,48822
Dadar,2,627,3.0,Semi-Furnished,1,68343
Borivali,2,726,1.0,Unfurnished,0,32055
Kandivali,3,1051,4.0,Semi-Furnished,1,60538
Thane,3,1017,2.0,Fully-Furnished,1,56794
Kandivali,3,909,3.0,Unfurnished,1,44202
Kandivali,1,431,1.0,Unfurnished,1,22312
Dadar,1,395,2.0,Unfurnished,1,35334
Thane,2,844,1.0,Unfurnished,1,39068
Borivali,3,1172,3.0,Semi-Furnished,0,67947
Goregaon,2,762,1.0,Unfurnished,1,39431
Goregaon,1,300,2.0,Unfurnished,0,16904
Kandivali,2,643,2.0,Unfurnished,0,34138
Chembur,2,751,3.0,Unfurnished,1,51858
Bandra,1,462,1.0,Unfurnished,0,42575
Bandra,3,986,3.0,Semi-Furnished,0,117164
Thane,3,1030,3.0,Unfurnished,0,49704
Kandivali,2,629,2.0,Semi-Furnished,0,35159
Chembur,2,732,2.0,Semi-Furnished,0,50244
Thane,1,444,1.0,Semi-Furnished,0,20400
Thane,2,677,2.0,Fully-Furnished,1,41959
Bandra,1,319,1.0,Unfurnished,0,29425
Kandivali,4,1397,4.0,Semi-Furnished,1,80350
Powai,1,360,1.0,Fully-Furnished,0,32968
Bandra,4,1497,3.0,Fully-Furnished,1,193149
Bandra,2,859,2.0,Fully-Furnished,0,100642
